Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,PitOutTime,PitInTime,TrackStatus,IsAccurate,Position,StintLap,PaceDelta,IsWinner,IsRedBull,CompundOrdinal
SAI,Ferrari,17.0,95.507,HARD,3.0,2.0,,,1,True,4.0,2,-1.884999999999991,False,False,2
SAI,Ferrari,18.0,96.088,HARD,4.0,2.0,,,1,True,3.0,3,-1.4640000000000128,False,False,2
SAI,Ferrari,19.0,96.236,HARD,5.0,2.0,,,1,True,3.0,4,-1.23899999999999,False,False,2
SAI,Ferrari,20.0,96.034,HARD,6.0,2.0,,,1,True,3.0,5,-1.6669999999999874,False,False,2
SAI,Ferrari,21.0,96.104,HARD,7.0,2.0,,,1,True,3.0,6,-1.2879999999999967,False,False,2
SAI,Ferrari,22.0,96.008,HARD,8.0,2.0,,,1,True,3.0,7,-1.4170000000000016,False,False,2
SAI,Ferrari,23.0,96.149,HARD,9.0,2.0,,,1,True,3.0,8,-1.293999999999997,False,False,2
SAI,Ferrari,24.0,96.2,HARD,10.0,2.0,,,1,True,3.0,9,-1.1400000000000006,False,False,2
SAI,Ferrari,25.0,96.22,HARD,11.0,2.0,,,1,True,3.0,10,-1.2950000000000017,False,False,2
SAI,Ferrari,26.0,96.221,HARD,12.0,2.0,,,1,True,3.0,11,-1.5275000000000034,False,False,2
SAI,Ferrari,27.0,96.272,HARD,13.0,2.0,,,1,True,3.0,12,-0.9289999999999878,False,False,2
SAI,Ferrari,28.0,96.534,HARD,14.0,2.0,,,1,True,3.0,13,-0.7199999999999989,False,False,2
SAI,Ferrari,29.0,96.6,HARD,15.0,2.0,,,1,True,3.0,14,-0.48500000000001364,False,False,2
SAI,Ferrari,30.0,96.337,HARD,16.0,2.0,,,1,True,3.0,15,-0.7349999999999994,False,False,2
SAI,Ferrari,31.0,96.537,HARD,17.0,2.0,,,1,True,3.0,16,-0.42899999999998784,False,False,2
SAI,Ferrari,32.0,96.762,HARD,18.0,2.0,,,1,True,3.0,17,-0.17300000000000182,False,False,2
SAI,Ferrari,33.0,96.556,HARD,19.0,2.0,,,1,True,3.0,18,-0.18500000000000227,False,False,2
SAI,Ferrari,34.0,96.551,HARD,20.0,2.0,,,1,True,3.0,19,0.03300000000000125,False,False,2
SAI,Ferrari,37.0,95.302,HARD,2.0,3.0,,,1,True,3.0,1,-0.5309999999999917,False,False,2
SAI,Ferrari,38.0,95.1,HARD,3.0,3.0,,,1,True,3.0,2,-1.0290000000000106,False,False,2
SAI,Ferrari,39.0,94.709,HARD,4.0,3.0,,,1,True,3.0,3,-1.1569999999999965,False,False,2
SAI,Ferrari,40.0,94.739,HARD,5.0,3.0,,,1,True,3.0,4,-1.3319999999999936,False,False,2
SAI,Ferrari,41.0,95.041,HARD,6.0,3.0,,,1,True,3.0,5,-0.6030000000000086,False,False,2
SAI,Ferrari,42.0,94.861,HARD,7.0,3.0,,,1,True,3.0,6,-0.4784999999999826,False,False,2
SAI,Ferrari,43.0,94.795,HARD,8.0,3.0,,,1,True,3.0,7,-0.5,False,False,2
SAI,Ferrari,44.0,94.507,HARD,9.0,3.0,,,1,True,3.0,8,-0.8389999999999986,False,False,2
SAI,Ferrari,45.0,94.79,HARD,10.0,3.0,,,1,True,3.0,9,-0.5294999999999987,False,False,2
SAI,Ferrari,46.0,94.853,HARD,11.0,3.0,,,1,True,3.0,10,-0.5859999999999985,False,False,2
SAI,Ferrari,47.0,94.901,HARD,12.0,3.0,,,1,True,3.0,11,-0.744000000000014,False,False,2
SAI,Ferrari,48.0,94.981,HARD,13.0,3.0,,,1,True,3.0,12,-0.9070000000000107,False,False,2
SAI,Ferrari,49.0,95.44,HARD,14.0,3.0,,,1,True,3.0,13,-0.3540000000000134,False,False,2
SAI,Ferrari,50.0,95.142,HARD,15.0,3.0,,,1,True,3.0,14,-0.6800000000000068,False,False,2
SAI,Ferrari,51.0,95.282,HARD,16.0,3.0,,,1,True,3.0,15,-0.6300000000000097,False,False,2
SAI,Ferrari,52.0,95.083,HARD,17.0,3.0,,,1,True,3.0,16,-0.9224999999999994,False,False,2
SAI,Ferrari,53.0,95.211,HARD,18.0,3.0,,,1,True,3.0,17,-0.7755000000000081,False,False,2
SAI,Ferrari,54.0,95.309,HARD,19.0,3.0,,,1,True,3.0,18,-0.7510000000000048,False,False,2
SAI,Ferrari,55.0,95.407,HARD,20.0,3.0,,,1,True,3.0,19,-0.7730000000000103,False,False,2
SAI,Ferrari,56.0,95.305,HARD,21.0,3.0,,,1,True,3.0,20,-0.7949999999999875,False,False,2
SAI,Ferrari,57.0,95.327,HARD,22.0,3.0,,,1,True,3.0,21,-0.7019999999999982,False,False,2
LEC,Ferrari,2.0,96.862,SOFT,5.0,1.0,,,1,True,2.0,1,-1.4110000000000014,False,False,0
LEC,Ferrari,3.0,98.062,SOFT,6.0,1.0,,,1,True,3.0,2,-0.2890000000000015,False,False,0
LEC,Ferrari,4.0,97.752,SOFT,7.0,1.0,,,1,True,3.0,3,-0.5465000000000089,False,False,0
LEC,Ferrari,5.0,98.131,SOFT,8.0,1.0,,,1,True,3.0,4,-0.29849999999999,False,False,0
LEC,Ferrari,6.0,97.782,SOFT,9.0,1.0,,,1,True,3.0,5,-0.4900000000000091,False,False,0
LEC,Ferrari,7.0,98.957,SOFT,10.0,1.0,,,1,True,4.0,6,0.4479999999999933,False,False,0
LEC,Ferrari,8.0,98.136,SOFT,11.0,1.0,,,1,True,4.0,7,-0.23100000000000875,False,False,0
LEC,Ferrari,9.0,97.844,SOFT,12.0,1.0,,,1,True,4.0,8,-0.8010000000000019,False,False,0
LEC,Ferrari,13.0,96.432,HARD,2.0,2.0,,,1,True,9.0,1,-0.9309999999999974,False,False,2
LEC,Ferrari,14.0,96.756,HARD,3.0,2.0,,,1,True,8.0,2,-0.7980000000000018,False,False,2
LEC,Ferrari,15.0,96.813,HARD,4.0,2.0,,,1,True,6.0,3,-0.4624999999999915,False,False,2
LEC,Ferrari,16.0,96.673,HARD,5.0,2.0,,,1,True,4.0,4,-0.6730000000000018,False,False,2
LEC,Ferrari,17.0,97.302,HARD,6.0,2.0,,,1,True,5.0,5,-0.0899999999999892,False,False,2
LEC,Ferrari,18.0,97.438,HARD,7.0,2.0,,,1,True,5.0,6,-0.11400000000000432,False,False,2
LEC,Ferrari,19.0,96.821,HARD,8.0,2.0,,,1,True,5.0,7,-0.6539999999999964,False,False,2
LEC,Ferrari,20.0,96.794,HARD,9.0,2.0,,,1,True,5.0,8,-0.9069999999999965,False,False,2
LEC,Ferrari,21.0,96.977,HARD,10.0,2.0,,,1,True,5.0,9,-0.41499999999999204,False,False,2
LEC,Ferrari,22.0,96.796,HARD,11.0,2.0,,,1,True,5.0,10,-0.6289999999999907,False,False,2
LEC,Ferrari,23.0,96.987,HARD,12.0,2.0,,,1,True,5.0,11,-0.45600000000000307,False,False,2
LEC,Ferrari,24.0,96.924,HARD,13.0,2.0,,,1,True,5.0,12,-0.4159999999999968,False,False,2
LEC,Ferrari,25.0,96.76,HARD,14.0,2.0,,,1,True,5.0,13,-0.7549999999999955,False,False,2
LEC,Ferrari,26.0,96.81,HARD,15.0,2.0,,,1,True,5.0,14,-0.9385000000000048,False,False,2
LEC,Ferrari,27.0,96.831,HARD,16.0,2.0,,,1,True,5.0,15,-0.36999999999999034,False,False,2
LEC,Ferrari,28.0,96.907,HARD,17.0,2.0,,,1,True,5.0,16,-0.3470000000000084,False,False,2
LEC,Ferrari,29.0,96.963,HARD,18.0,2.0,,,1,True,5.0,17,-0.1220000000000141,False,False,2
LEC,Ferrari,30.0,97.158,HARD,19.0,2.0,,,1,True,5.0,18,0.08599999999999852,False,False,2
LEC,Ferrari,31.0,97.031,HARD,20.0,2.0,,,1,True,4.0,19,0.06500000000001194,False,False,2
LEC,Ferrari,32.0,96.941,HARD,21.0,2.0,,,1,True,4.0,20,0.006000000000000227,False,False,2
LEC,Ferrari,33.0,96.741,HARD,22.0,2.0,,,1,True,4.0,21,0.0,False,False,2
LEC,Ferrari,36.0,94.09,HARD,2.0,3.0,,,1,True,5.0,1,-2.237499999999997,False,False,2
LEC,Ferrari,37.0,94.897,HARD,3.0,3.0,,,1,True,5.0,2,-0.9359999999999928,False,False,2
LEC,Ferrari,38.0,94.783,HARD,4.0,3.0,,,1,True,5.0,3,-1.3460000000000036,False,False,2
LEC,Ferrari,39.0,95.087,HARD,5.0,3.0,,,1,True,5.0,4,-0.7789999999999964,False,False,2
LEC,Ferrari,40.0,94.859,HARD,6.0,3.0,,,1,True,5.0,5,-1.2120000000000033,False,False,2
LEC,Ferrari,41.0,95.028,HARD,7.0,3.0,,,1,True,5.0,6,-0.6159999999999997,False,False,2
LEC,Ferrari,42.0,94.982,HARD,8.0,3.0,,,1,True,5.0,7,-0.3574999999999875,False,False,2
LEC,Ferrari,43.0,95.192,HARD,9.0,3.0,,,1,True,5.0,8,-0.10300000000000864,False,False,2
LEC,Ferrari,44.0,95.051,HARD,10.0,3.0,,,1,True,5.0,9,-0.2950000000000017,False,False,2
LEC,Ferrari,45.0,95.22,HARD,11.0,3.0,,,1,True,5.0,10,-0.09950000000000614,False,False,2
LEC,Ferrari,46.0,95.058,HARD,12.0,3.0,,,1,True,4.0,11,-0.380999999999986,False,False,2
LEC,Ferrari,47.0,95.057,HARD,13.0,3.0,,,1,True,4.0,12,-0.5880000000000081,False,False,2
LEC,Ferrari,48.0,95.308,HARD,14.0,3.0,,,1,True,4.0,13,-0.5799999999999983,False,False,2
LEC,Ferrari,49.0,95.302,HARD,15.0,3.0,,,1,True,4.0,14,-0.49200000000000443,False,False,2
LEC,Ferrari,50.0,95.383,HARD,16.0,3.0,,,1,True,4.0,15,-0.43900000000000716,False,False,2
LEC,Ferrari,51.0,95.418,HARD,17.0,3.0,,,1,True,4.0,16,-0.4939999999999998,False,False,2
LEC,Ferrari,52.0,95.394,HARD,18.0,3.0,,,1,True,4.0,17,-0.6114999999999924,False,False,2
LEC,Ferrari,53.0,95.48,HARD,19.0,3.0,,,1,True,4.0,18,-0.5065000000000026,False,False,2
LEC,Ferrari,54.0,95.265,HARD,20.0,3.0,,,1,True,4.0,19,-0.7950000000000017,False,False,2
LEC,Ferrari,55.0,95.785,HARD,21.0,3.0,,,1,True,4.0,20,-0.39500000000001023,False,False,2
LEC,Ferrari,56.0,95.924,HARD,22.0,3.0,,,1,True,4.0,21,-0.17599999999998772,False,False,2
LEC,Ferrari,57.0,96.324,HARD,23.0,3.0,,,1,True,4.0,22,0.2950000000000017,False,False,2
RUS,Mercedes,2.0,96.635,SOFT,5.0,1.0,,,1,True,3.0,1,-1.637999999999991,False,False,0
RUS,Mercedes,3.0,96.406,SOFT,6.0,1.0,,,1,True,2.0,2,-1.9449999999999932,False,False,0
RUS,Mercedes,4.0,97.738,SOFT,7.0,1.0,,,1,True,2.0,3,-0.5605000000000047,False,False,0
